Object id;Object name;Object name location;Object type;Object status;Effort complexity;Equivalence ratio;AEP
3787;browserid.js;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\browserid.js];eFile;added;0.05;45.42553191489362;2.2712766295893396
5661;browserID;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\browserid.js].browserID;eFunction;added;0.05;45.42553191489362;2.2712766295893396
4001;drawCal;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\calendar.htc].drawCal;eFunction;added;0.05;45.42553191489362;2.2712766295893396
4471;fnInit;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\calendar.htc].fnInit;eFunction;added;0.05;45.42553191489362;2.2712766295893396
497;getDays;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\calendar.htc].getDays;eFunction;added;0.05;45.42553191489362;2.2712766295893396
4087;getMonthName;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\calendar.htc].getMonthName;eFunction;added;0.05;45.42553191489362;2.2712766295893396
1348;leapYear;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\calendar.htc].leapYear;eFunction;added;0.05;45.42553191489362;2.2712766295893396
4345;setCal;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\calendar.htc].setCal;eFunction;added;0.05;45.42553191489362;2.2712766295893396
4474;onclick;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].COMPONENT.onclick;eEvent;added;0.05;45.42553191489362;2.2712766295893396
1919;start;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].COMPONENT.start;eMethod;added;0.05;45.42553191489362;2.2712766295893396
2531;stop;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].COMPONENT.stop;eMethod;added;0.05;45.42553191489362;2.2712766295893396
2101;getDir;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].getDir;eFunction;added;0.05;45.42553191489362;2.2712766295893396
3541;onClick;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].onClick;eFunction;added;0.05;45.42553191489362;2.2712766295893396
5541;putDir;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].putDir;eFunction;added;0.05;45.42553191489362;2.2712766295893396
1210;setDir;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].setDir;eFunction;added;0.05;45.42553191489362;2.2712766295893396
1524;start;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].start;eFunction;added;0.05;45.42553191489362;2.2712766295893396
3375;stop;[C:\jenkins7_slave\workspace\CAIP_Trunk_TestE2E_CSS_ADG\Work\CAST\Deploy\IFPUG\Sol2005\solution_complete_for_stats\WebApplicationVB\appli_web_asp\composant.htc].stop;eFunction;added;0.05;45.42553191489362;2.2712766295893396